t,src,I,Tr
1989.919999999991,272659.0139756379,1056.522092967589,0.0
1989.959999999991,276314.49788653455,1086.169041191461,0.0
1989.999999999991,280018.9269285814,1116.6402439312278,0.0
1990.0399999999909,283772.9547097176,1147.9578963199688,0.0
1990.0799999999908,287577.24352116935,1180.1447559819803,0.0
1990.1199999999908,291432.46444966807,1213.2246886449072,0.0
1990.1599999999908,295339.2974922874,1247.2222080619135,0.0
1990.1999999999907,299298.4316733989,1282.162493406239,0.0
1990.2399999999907,303310.56516312674,1318.071407127143,0.0
1990.2799999999907,307376.4053973199,1354.9755132793193,0.0
1990.3199999999906,311496.6691990591,1392.902096338187,0.0
1990.3599999999906,315672.08290171885,1431.8791805137746,0.0
1990.3999999999905,319903.3824736019,1471.9355495762513,0.0
1990.4399999999905,324191.3136441659,1513.10076720649,0.0
1990.4799999999905,328536.63203186117,1555.4051978853965,0.0
1990.5199999999904,332940.1032735997,1598.8800283360922,0.0
1990.5599999999904,337402.50315587386,1643.5572895334021,0.0
1990.5999999999904,341924.6177475455,1689.4698792954719,0.0
1990.6399999999903,346507.2435343254,1736.6515854727218,0.0
1990.6799999999903,351151.18755496305,1785.137109749736,0.0
1990.7199999999903,355857.2675391673,1834.9620920760874,0.0
1990.7599999999902,360626.3120472788,1886.1631357425126,0.0
1990.7999999999902,365459.1606117145,1938.777833119273,0.0
1990.8399999999901,370356.6638802064,1992.8447920739723,0.0
1990.87999999999,375319.68376085436,2048.403663086543,0.0
1990.91999999999,380349.09356901585,2105.4951670795754,0.0
1990.95999999999,385445.77817605366,2164.1611239826243,0.0
1990.99999999999,390610.63415996346,2224.4444820496124,0.0
1991.03999999999,395844.5699579039,2286.389347948936,0.0
1991.07999999999,401148.5060206511,2350.041017646393,0.0
1991.11999999999,406523.3749690004,2415.446008101551,0.0
1991.1599999999899,411970.1217521382,2482.6520897987284,0.0
1991.1999999999898,417489.70380800654,2551.7083201342793,0.0
1991.2399999999898,423083.09122568456,2622.66507768245,0.0
1991.2799999999897,428751.26690980914,2695.5740973626316,0.0
1991.3199999999897,434495.2267470595,2770.488506531432,0.0
1991.3599999999897,440315.979774729,2847.462862023577,0.0
1991.3999999999896,446214.5483514085,2926.5531881662796,0.0
1991.4399999999896,452191.9683298059,3007.817015792333,0.0
1991.4799999999896,458249.28923172574,3091.3134222778503,0.0
1991.5199999999895,464387.5744252348,3177.103072631209,0.0
1991.5599999999895,470607.90130403766,3265.2482616604716,0.0
1991.5999999999894,476911.3614690879,3355.81295724722,0.0
1991.6399999999894,483299.06091246085,3448.8628447554815,0.0
1991.6799999999894,489772.12020351295,3544.4653726051397,0.0
1991.7199999999893,496331.67467735393,3642.6897990399816,0.0
1991.7599999999893,502978.8746256582,3743.607240121311,0.0
1991.7999999999893,509714.8854898415,3847.290718978829,0.0
1991.8399999999892,516540.8880566296,3953.8152163513123,0.0
1991.8799999999892,523458.07865604607,4063.257722450438,0.0
1991.9199999999892,530467.6693618456,4175.697290181957,0.0
1991.9599999999891,537570.888194421,4291.215089759294,0.0
1991.999999999989,544768.9793262106,4409.894464745544,0.0
1992.039999999989,552063.2032896347,4531.820989560752,0.0
1992.079999999989,559454.8371875875,4657.082528492307,0.0
1992.119999999989,566945.1749065152,4785.769296247228,0.0
1992.159999999989,574535.5273321051,4917.97392008615,0.0
1992.199999999989,582227.2225676187,5053.791503579766,0.0
1992.2399999999889,590021.6061548935,5193.3196920295795,0.0
1992.2799999999888,597920.0412980452,5336.658739595859,0.0
1992.3199999999888,605923.9090898986,5483.91157817677,0.0
1992.3599999999888,614034.6087411769,5635.183888083799,0.0
1992.3999999999887,622253.557812479,5790.58417055971,0.0
1992.4399999999887,630582.1924490747,5950.22382218647,0.0
1992.4799999999886,639021.967618548,6114.217211231758,0.0
1992.5199999999886,647574.3573513187,6282.681755983939,0.0
1992.5599999999886,656240.8549840732,6455.738005126623,0.0
1992.5999999999885,665022.9734061345,6633.509720205232,0.0
1992.6399999999885,673922.2453088034,6816.123960239348,0.0
1992.6799999999885,682940.2234377003,7003.711168535944,0.0
1992.7199999999884,692078.4808481414,7196.405261760031,0.0
1992.7599999999884,701338.6111635783,7394.34372132066,0.0
1992.7999999999884,710722.2288371344,7597.667687131699,0.0
1992.8399999999883,720230.969416269,7806.52205380831,0.0
1992.8799999999883,729866.4898106017,8021.055569361592,0.0
1992.9199999999882,739630.4685629294,8241.420936455415,0.0
1992.9599999999882,749524.6061234677,8467.774916291146,0.0
1992.9999999999882,759550.6251273495,8700.27843518755,0.0
1993.0399999999881,769710.2706754142,8939.09669392493,0.0
1993.079999999988,780005.3106183194,9184.399279924246,0.0
1993.119999999988,790437.5358440089,9436.3602823338,0.0
1993.159999999988,801008.7605685693,9695.158410097853,0.0
1993.199999999988,811720.8226305101,9960.977113083456,0.0
1993.239999999988,822575.5837884987,10234.004706343694,0.0
1993.279999999988,833574.9300225856,10514.434497597485,0.0
1993.3199999999879,844720.7718389528,10802.464918008158,0.0
1993.3599999999878,856015.0445782194,11098.299656345029,0.0
1993.3999999999878,867459.7087273381,11402.14779661439,0.0
1993.4399999999878,879056.7502351167,11714.223959248455,0.0
1993.4799999999877,890808.1808313994,12034.748445943047,0.0
1993.5199999999877,902716.0383499413,12363.947388237119,0.0
1993.5599999999877,914782.3870550105,12702.052899929495,0.0
1993.5999999999876,927009.3179717533,13049.303233430692,0.0
1993.6399999999876,939398.9492203549,13405.942940150051,0.0
1993.6799999999876,951953.4263540322,13772.223035021008,0.0
1993.7199999999875,964674.9227008922,14148.40116526988,0.0
1993.7599999999875,977565.6397096902,14534.741783536176,0.0
